branch,ahead,behind,class,action
main,0,0,integration,keep
agentapi-plusplus/chore/sast-pin-governance-clean,8,73,chore,delete
backup/20260426-agentapi-local-main-4a3c145,1,73,backup,deleted-pre-audit
backup/20260426-reconcile-0c5f958,15,73,backup,delete
chore/audit-agentapi-plusplus-2026-06-08,10,14,chore,delete
chore/changelog-2026-06-08,11,14,chore,delete
chore/ci-cargo-cache-2026-06-08,12,14,chore,delete
chore/ci-concurrency-2026-06-08,10,14,chore,delete
chore/contributing-2026-06-08,10,14,chore,delete
chore/eslint-strict-2026-06-08,9,14,chore,delete
chore/gitleaks-2026-06-08,10,14,chore,delete
chore/go-vet-strict-2026-06-08,14,14,chore,delete
chore/hygiene-w84-fixed,1,52,chore,delete
chore/mypy-strict-2026-06-08,14,14,chore,delete
chore/pin-actions,18,21,chore,delete
chore/pin-github-actions-20260501,4,26,chore,delete
chore/pyright-2026-06-08,13,14,chore,delete
chore/pytest-markers-2026-06-08,14,14,chore,delete
chore/SD1-004-sota-2026-06-11,9,14,chore,delete
chore/tsc-strict-2026-06-08,14,14,chore,delete
chore/update-lockfile-agentapi-plusplus,5,41,chore,delete
chore/vitest-2026-06-08,9,14,chore,delete
chore/workflow-hygiene-ubuntu-24,13,21,chore,delete
chore/worklog-seed-agentapi-plusplus,18,21,chore,delete
ci/add-golangci-lint,13,21,ci,delete
complete-sync,18,21,upstream,delete
dependabot/npm_and_yarn/agentapi-plusplus/chat/babel/plugin-transform-modules-systemjs-7.29.4,1,21,deps,keep
dependabot/npm_and_yarn/agentapi-plusplus/chat/fast-uri-3.1.2,1,21,deps,keep
dependabot/npm_and_yarn/agentapi-plusplus/chat/next-15.5.18,1,21,deps,delete
dependabot/npm_and_yarn/agentapi-plusplus/chat/qs-6.15.2,1,21,deps,deleted-pre-audit
dependabot/npm_and_yarn/chat/next-15.5.18,1,21,deps,deleted-pre-audit
docs/agentapi-plusplus-sladge-ci-current,8,21,docs,delete
docs/agentapi-plusplus-sladge-current,4,21,docs,delete
docs/branch-inventory-g15,0,0,docs,deleted-pre-audit
feat/wave-h1-funding-yml,0,0,upstream,deleted-pre-audit
feat/wave-h2-branch-superset,0,0,upstream,deleted-pre-audit
fix/pull-request-target,1,21,fix,deleted-pre-audit
sync/upstream-v0.12.2,1,21,upstream,deleted-pre-audit
wip/2026-06-17-cleanup-agentapi-plusplus-dirty,2,5,wip,delete
feat/wave15-g15-branch-prune,0,0,hygiene,keep
